USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,EVENT_VALUE
1,5462,1699191419.257039,view,2.3739469371172386
1,5007,1687441019.2571058,purchase,1.044074542320255
1,9777,1690465019.2571158,view,2.0386170434305058
1,4254,1689687419.257123,purchase,4.956374603199889
1,8949,1690983419.257129,purchase,4.095867233370841
1,556,1704116219.2571352,view,2.895484763532365
1,168,1691501819.2571409,purchase,3.518427208088017
1,372,1703511419.2571478,view,1.4022682007878529
1,1440,1710596219.257157,purchase,3.1983947507470623
1,8161,1700314619.257163,view,4.653674241145502
2,8293,1702733819.257169,click,2.390198079892581
2,7207,1703597819.257175,view,4.822565106845374
2,9482,1691242619.257181,view,4.7400702031977815
2,7416,1686663419.2571871,purchase,1.7526431727587122
2,1583,1681652219.2571929,click,3.2274408040567297
2,1730,1681997819.257198,click,1.9722973394889336
2,3565,1681652219.257204,view,2.315277504729821
2,9409,1709818619.25721,purchase,4.96558760786931
2,4417,1708781819.257216,purchase,1.8591363302817552
2,8351,1710423419.257222,click,4.400957213480321
2,1359,1688045819.2572281,purchase,4.6401309664714105
2,4368,1684071419.2572339,click,3.3170905204477226
3,476,1684244219.25724,click,4.749696275955853
3,1447,1682257019.257246,view,4.37337573433378
3,6758,1699537019.257251,view,4.268291181848403
3,1083,1686749819.257257,view,1.2737909200885347
3,969,1693748219.2572632,purchase,2.1151315143793066
3,2265,1682257019.257269,view,3.043034561715803
3,9046,1699018619.2572749,view,2.2715950956440634
3,9089,1688132219.25728,view,2.8548068175283436
3,6854,1695217019.2572858,purchase,1.0702948624809037
3,2754,1698241019.257292,view,2.1991743252567595
3,7288,1709213819.2572968,view,2.7694499843874185
3,9491,1690897019.257303,click,3.3738936010346587
3,8314,1694353019.25731,purchase,4.113496694464791
3,6079,1690465019.2573152,click,2.5681924890106225
3,5264,1712324219.257321,view,4.780228401512344
3,1538,1690119419.257327,click,1.7594396698099972
4,6344,1693143419.257332,purchase,1.4686799223438518
4,1276,1693057019.2573388,purchase,4.537602239016563
4,2031,1695562619.257345,view,3.558684262007847
4,7553,1689169019.257351,purchase,1.6807200292296178
4,8897,1706535419.2573571,view,2.8404878419941544
4,8827,1710769019.2573628,purchase,4.108281762886284
4,8876,1687873019.257369,view,2.342244018689103
4,43,1711028219.257374,view,2.3898372188578145
4,7610,1695217019.25738,purchase,3.2800418460542415
4,3179,1693402619.257386,purchase,3.734311027322263
4,566,1685972219.2573912,purchase,3.0812143535311525
4,2638,1711373819.257397,view,2.5022572926222835
4,1831,1694007419.257403,purchase,3.535675481258852
4,6666,1699277819.257408,click,1.2681119672663321
4,462,1697809019.2574139,view,2.3858745524251597
4,3975,1694353019.25742,purchase,2.0091695007862937
5,7220,1684849019.257426,view,3.275530184087779
5,834,1708004219.257431,purchase,2.5486779489029
5,5183,1685626619.25744,view,2.6951601230716813
5,2094,1688996219.257452,click,2.050153987632593
5,8934,1698241019.2574642,view,1.991609143101932
5,5837,1704634619.257476,view,4.827095739945437
5,6684,1691847419.2574878,view,2.4286721019661717
5,4460,1688909819.2575,purchase,3.8116727259057015
5,9623,1708436219.257511,click,3.6269012610740616
5,1923,1685453819.257518,click,3.063838229669553
5,5644,1690205819.257524,click,1.6161233321078372
5,7045,1693661819.257531,view,4.725614418257408
5,8412,1687613819.2575371,purchase,3.216904871412007
5,7382,1699969019.2575428,click,2.435947335223142
5,6669,1695821819.257549,purchase,1.1778939933176438
5,7550,1689860219.257555,view,3.3644076816901705
5,4874,1698586619.25756,click,1.9021654847946725
5,8185,1701869819.257568,purchase,3.254443804213023
5,9555,1685626619.257579,click,3.6461991108182135
5,5467,1695130619.257591,click,1.8467339336500936
6,8819,1695908219.257601,purchase,3.010271544988879
6,4111,1691847419.257612,click,3.0217023876517373
6,9285,1711805819.257625,click,2.932017781608716
6,3648,1681479419.257639,view,1.425953050399655
6,5120,1711028219.2576509,click,3.410025285648726
6,458,1700660219.257664,view,2.921587489126644
6,5163,1700228219.257675,click,2.321396154024869
6,193,1704721019.257686,click,2.2699347042716176
6,7028,1707485819.257697,purchase,1.3465871157987173
6,298,1689860219.257708,click,3.214980605477349
6,3469,1689687419.257719,purchase,4.969148824426966
6,4785,1698241019.257731,click,1.025868479719434
6,1140,1710423419.2577422,purchase,1.9349736721644009
6,8068,1698673019.257754,click,4.1388758376569985
6,7658,1696426619.257764,click,4.9322448884845524
6,412,1682861819.257775,purchase,2.927769014020741
6,9393,1708868219.257787,view,1.7646623199746636
6,5105,1683725819.257799,purchase,3.333453308944506
6,2283,1700055419.2578108,purchase,1.9680144949623388
7,2078,1702474619.257826,click,4.9402829487466295
7,3100,1697204219.2578392,view,2.804449181102276
7,3166,1689255419.2578502,click,4.329770988365653
7,5087,1694612219.2578619,view,1.28850102959075
7,9982,1690205819.257874,click,3.631402305437762
7,9919,1693057019.257885,purchase,2.8599661386604978
7,4170,1685281019.257897,purchase,2.4608322020493603
7,1043,1696426619.257909,click,2.15387373220584
7,3573,1687786619.257917,purchase,2.6035609135488604
7,1165,1701697019.2579231,click,1.4195337131930703
7,3940,1703857019.2579288,view,2.9159692777700243
7,4820,1683985019.257935,view,1.4514200231398715
7,1845,1683553019.25794,purchase,1.010995812548508
7,7441,1700573819.257946,click,4.264378311783237
7,3883,1692106619.257952,purchase,1.5277876817784302
7,3425,1711978619.2579572,click,2.7416990588819288
